key,text,en
$pages$Login$components$Login$index11,请输入登录密码,Enter your login password
$pages$Login$components$Login$index12,密码,Password
$pages$Login$components$Login$index13,密码,Password
$pages$Login$components$Login$index14,请选择租户,Select tenant
$pages$Login$components$Login$index15,请选择租户,Select tenant
$pages$Login$components$Login$index16,租户,Tenants
$pages$Login$components$Login$index17,租户,Tenants
$pages$Login$components$Login$index18,记住密码,Keep Password
$pages$Login$components$Login$index19,记住密码,Keep Password
$pages$Login$components$Login$index20,请输入手机号,Enter your phone number
$pages$Login$components$Login$index21,请输入手机号,Enter your phone number
$pages$Login$components$Login$index22,手机号,Phone number
$pages$Login$components$Login$index23,手机号,Phone number
$pages$Login$components$Login$index24,验证码,Verification code
$pages$Login$components$Login$index25,验证码,Verification code
$pages$Login$components$Login$index26,标准,Standard
$pages$Login$components$Login$index27,登录,Log in
$pages$Login$components$Login$index28,上传成功，请登录,"Upload successfully, please log in"
$pages$Login$components$Login$index29,上传,Upload
$pages$Login$components$Login$index30,上传,Upload
$pages$Login$components$Login$index31,上传License,Upload License
$pages$Login$components$Login$index32,拖拽文件至此，或者,"Drag and drop file, or"
$pages$Login$components$Login$index33,选择文件,Select files
$pages$Login$components$Login$index34,请上传.lic文件,Upload your .lic file
$pages$Login$components$Login$index35,欢迎登录你的问学账号,Welcome to log in Smart Vision
$pages$Login$components$ToRegister$index0,成功,Success
$pages$Login$components$ToRegister$index1,注册成功,Registered successfully
$pages$Login$components$ToRegister$index2,注册,Register
$pages$Login$components$ToRegister$index3,请输入企业名称,Enter your corporate name
$pages$Login$components$ToRegister$index4,请输入企业邮箱,Enter your business email
$pages$Login$components$ToRegister$index5,请输入手机号,Enter your phone number
$pages$Login$components$ToRegister$index6,请输入验证码,Enter your verification code
$pages$Login$components$ToRegister$index7,请输入用户名,Enter your username
$pages$Login$components$ToRegister$index8,请输入密码,Enter your password
$pages$Login$components$ToRegister$index9,请再次输入密码,Enter your password again
$pages$Login$components$ToRegister$index10,请检查密码是否一致,Check if the passwords consistent
$pages$Login$components$ToRegister$index11,版权所有2016-,Copyright 2016-
$pages$Login$components$ToRegister$index12,神州数码集团股份有限公司，保留一切权利。由,"Digital China Group Co.,Ltd. all rights reserved. By"
$pages$Login$components$ToRegister$index13,和,and
$pages$Login$components$ToRegister$index14,为“问学”生成登录页面,"Generate Login page for ""Smart Vision"""
$pages$Login$components$ToRegister$index15,欢迎登录你的问学账号,Welcome to Smart Vision
$pages$Login$components$ToRegister$index16,已有账号，,"Existing Account,"
$pages$Login$components$ToRegister$index17,去登录,Go to Log in
$pages$Login$components$ToRegister$index18,立即登录,Log in Now
$pages$Login$components$ToRegister$index19,请输入企业名称,Enter your corporate name
$pages$Login$components$ToRegister$index20,请输入企业名称,Enter your corporate name
$pages$Login$components$ToRegister$index21,企业名称,Corporate name
$pages$Login$components$ToRegister$index22,企业名称,Corporate name
$pages$Login$components$ToRegister$index23,请输入企业邮箱,Enter your business email
$pages$Login$components$ToRegister$index24,请输入企业邮箱,Enter your business email
$pages$Login$components$ToRegister$index25,企业邮箱,Business email
$pages$Login$components$ToRegister$index26,企业邮箱,Business email
$pages$Login$components$ToRegister$index27,请输入用户名,Enter your username
$pages$Login$components$ToRegister$index28,请输入用户名,Enter your username
$pages$Login$components$ToRegister$index29,用户名,Username
$pages$Login$components$ToRegister$index30,用户名,Username
$pages$Login$components$ToRegister$index31,请输入手机号,Enter your phone number
$pages$Login$components$ToRegister$index32,请输入手机号,Enter your phone number
$pages$Login$components$ToRegister$index33,手机号,Phone number
$pages$Login$components$ToRegister$index34,手机号,Phone number
$pages$Login$components$ToRegister$index35,验证码,Verification Code
$pages$Login$components$ToRegister$index36,验证码,Verification Code
$pages$Login$components$ToRegister$index37,请输入登录密码,Enter your login password
$pages$Login$components$ToRegister$index38,请输入登录密码,Enter your login password
$pages$Login$components$ToRegister$index39,登录密码,Login password
$pages$Login$components$ToRegister$index40,登录密码,Login password
$pages$Login$components$ToRegister$index41,请再次输入登录密码,Enter your login password again
$pages$Login$components$ToRegister$index42,请再次输入登录密码,Enter your login password again
$pages$Login$components$ToRegister$index43,再次输入登录密码,Enter your login password again
$pages$Login$components$ToRegister$index44,再次输入登录密码,Enter your login password again
$pages$Login$components$ToRegister$index45,我已阅读并同意,I have read and agree
$pages$Login$components$ToRegister$index46,服务条款,Terms and Conditions
$pages$Login$components$ToRegister$index47,隐私策略,Privacy Policy
$pages$Login$components$ToRegister$index48,注册,Register
$pages$ModelListPrivate$index0,大模型,Models
$pages$ModelListPrivate$index1,大模型,Models
$pages$ModelListPrivate$index2,大模型是指参数量非常庞大的深度学习模型，通常用于处理大规模数据集和复杂任务。这里展示所有您从大模型市场上添加/个人创建的大模型，支持企业定制私有的大模型，满足企业个性化需求。,"Models refer to deep learning models with an extremely large number of parameters, typically used to handle large-scale datasets and complex tasks. Here are all the models you have added from the Store or created personally. Supporting enterprise-customized private models to meet the personalized needs of businesses."
$pages$ModelListPrivate$index3,大模型是指参数量非常庞大的深度学习模型，通常用于处理大规模数据集和复杂任务。这里展示所有您从大模型市场上添加/个人创建的大模型，支持企业定制私有的大模型，满足企业个性化需求。,"Models refer to deep learning models with an extremely large number of parameters, typically used to handle large-scale datasets and complex tasks. Here are all the models you have added from the Store or created personally. Supporting enterprise-customized private models to meet the personalized needs of businesses."
$components$ModelDesc$index0,访问量,Visits
$components$ModelDesc$index1,下载量,Downloads
$components$ModelDesc$index2,支撑应用数,number of applications supported
$components$ModelDesc$index3,训练数据量,Amount of training data
$components$ModelDesc$index4,相关数据集,Related datasets
$components$ModelDesc$index5,查看更多,View more
$components$ModelEdit$index0,模型与文件,Models and Files
$components$ModelEdit$index1,提交对main的更改,Submit changes of main
$components$ModelEdit$index2,取消,Cancel
$components$ModelNav$index0,模型介绍,Model Introduction
$components$ModelNav$index1,访问API,API Access
$components$ModelNav$index2,账号配置,Account Configuration
$components$ModelNav$index3,模型文件,Model Files
$components$ModelNav$index4,步骤3,Step 3
$components$ModelNav$index5,测评报告,Evaluation Report
$pages$ModelAccountConfig$index0,请输入,Enter
$pages$ModelAccountConfig$index1,修改成功,Modified successfully
$pages$ModelAccountConfig$index2,提交,Submit
$components$ModelReport$index0,请选择环境,Select an environment
$components$ModelReport$index1,请填写正确数值,Enter valid value
$components$ModelReport$index2,请填写正确数值,Enter valid value
$components$ModelReport$index3,请填写正确数值,Enter valid value
$components$ModelReport$index4,请填写正确数值,Enter valid value
$components$ModelReport$index5,测评基准：,Evaluation benchmark:
$components$ModelReport$index6,基于,Based on
$components$ModelReport$index7,中文评估基准测评,Chinese evaluation benchmark
$components$ModelReport$index8,测评日期：,Evaluation date:
$components$ModelReport$index9,暂无数据,No data available
$components$ModelReport$index10,开始测评,Start Evaluation
$components$ModelReport$index11,暂无数据,No data available
$components$ModelReport$index12,测评中，请耐心等待..,"Evaluating, please be patient.."
$components$ModelReport$index13,测评失败,Evaluate failed
$components$ModelReport$index14,重新测评,Re-evaluate
$components$ModelReport$index15,平均分,Average score
$components$ModelReport$index16,平均,Average
$components$ModelReport$index17,平均,Average
$components$ModelReport$index18,选择环境及资源,Select environment and resources
$components$ModelReport$index19,环境选择,Select environment
$components$ModelReport$index20,环境选择,Select environment
$components$ModelReport$index21,GPU显存(GB),GPU(GB)
$components$ModelReport$index22,GPU显存(GB),GPU(GB)
$components$ModelReport$index23,一般建议使用默认值,Generally recommended to use default values
$components$ModelReport$index24,一般建议使用默认值,Generally recommended to use default values
$components$ModelReport$index25,VCPU(核数),VCPU
$components$ModelReport$index26,VCPU(核数),VCPU
$components$ModelReport$index27,内存(GB),Memory(GB)
$components$ModelReport$index28,内存(GB),Memory(GB)
$components$ModelReport$index29,一般建议不低于8,Generally recommended not to be less than 8GB
$components$ModelReport$index30,一般建议不低于8,Generally recommended not to be less than 8GB
$components$ModelReport$index31,存储(GB),Storage(GB)
$components$ModelReport$index32,存储(GB),Storage(GB)
$components$ModelReport$index33,多次训练+modelsize x2,Multiple training & modelsize x2
$components$ModelReport$index34,多次训练+modelsize x2,Multiple training & modelsize x2
$components$ModelReport$index35,取消,Cancel
$components$ModelReport$index36,确定,OK
$pages$ModelListPublic$index0,大模型市场,Model Store
$pages$ModelListPublic$index1,大模型市场,Model Store
$pages$ModelListPublic$index2,为您提供行业内热门的公有大模型资源，您可以从市场上添加到个人工作台，购买许可证使用模型权益。,We provide you with popular public model resources. You can add them to your studio from the store and use the models by license purchase.
$pages$ModelListPublic$index3,为您提供行业内热门的公有大模型资源，您可以从市场上添加到个人工作台，购买许可证使用模型权益。,We provide you with popular public model resources. You can add them to your studio from the store and use the models by license purchase.
$pages$ModelAPIPage$index0,API 密钥,API Key
$pages$ModelDetailsPrivatePage$index0,停止部署,Stop deployment
$pages$ModelDetailsPrivatePage$index1,停止试用失败,Stop failed
$pages$ModelDetailsPrivatePage$index2,成功,Success
$pages$ModelDetailsPrivatePage$index3,大模型已添加到工作台,The model has been added to Studio
$pages$ModelDetailsPrivatePage$index4,模型详情,Model Details
$pages$ModelDetailsPrivatePage$index5,展示市场上公有的模型详细信息，包含模型介绍、模型文件、测评报告，用户可以决定是否添加到个人工作台/大模型。,"Display detailed information about public models, including model introduction, model files, and evaluation reports. Users can decide whether to add them to their studio."
$pages$ModelDetailsPrivatePage$index6,展示私有大模型详细信息，包含模型介绍 、模型文件、测评报告。,"Display detailed information about private models, including model introduction, model files, and evaluation reports."
$pages$ModelDetailsPrivatePage$index7,定制,Customize
$pages$ModelDetailsPrivatePage$index8,查看日志,View logs
$pages$ModelDetailsPrivatePage$index9,部署中,Deploying
$pages$ModelDetailsPrivatePage$index10,停止,Stop
$pages$ModelDetailsPrivatePage$index11,步骤7,Step 7
$pages$ModelDetailsPrivatePage$index12,部署,Deploy
$pages$ModelDetailsPrivatePage$index13,试用,Trial
$pages$ModelDetailsPrivatePage$index14,停止,Stop
$pages$ModelDetailsPrivatePage$index15,停止试用,Stop the trial
$pages$ModelDetailsPrivatePage$index16,步骤4,Step 4
$pages$ModelDetailsPrivatePage$index17,已添加到工作台/大模型,Added to Studio/Models
$pages$ModelDetailsPrivatePage$index18,步骤4,Step 4
$pages$ModelDetailsPrivatePage$index19,添加到工作台/大模型,Add to Studio/Models
$pages$ModelDetailsPrivatePage$index20,试用倒计时,Trial countdown
$pages$ModelDetailsPrivatePage$index21,发布中,Publishing
$pages$ModelDetailsPrivatePage$index22,发布中,Publishing
$pages$ModelDetailsPrivatePage$index23,这个过程可能需要几分钟，请耐心等待。,"The process may take a few minutes, please be patient."
$pages$ModelDetailsPrivatePage$index24,这个过程可能需要几分钟，请耐心等待。,"The process may take a few minutes, please be patient."
$pages$ModelDetailsPrivatePage$index25,部署中,Deploying
$pages$ModelDetailsPrivatePage$index26,部署中,Deploying
$pages$ModelDetailsPrivatePage$index27,这个过程可能需要几分钟，请耐心等待。,"The process may take a few minutes, please be patient."
$pages$ModelDetailsPrivatePage$index28,这个过程可能需要几分钟，请耐心等待。,"The process may take a few minutes, please be patient."
$pages$ModelDetailsPrivatePage$index29,停止中,Stopping
$pages$ModelDetailsPrivatePage$index30,停止中,Stopping
$pages$ModelDetailsPrivatePage$index31,资源释放可能需要几分钟，请耐心等待。,"Resource release may take a few minutes, please be patient."
$pages$ModelDetailsPrivatePage$index32,资源释放可能需要几分钟，请耐心等待。,"Resource release may take a few minutes, please be patient."
$pages$ModelDetailsPrivatePage$index33,停止部署,Stop deployment
$pages$ModelDetailsPrivatePage$index34,停止试用,Stop the trial
$pages$ModelDetailsPrivatePage$index35,确定要停止,Confirm to stop
$pages$ModelDetailsPrivatePage$index36,部署,Deploy
$pages$ModelDetailsPrivatePage$index37,试用,Trial
$pages$ModelDetailsPrivatePage$index38,吗？,?
$pages$ModelDetailsPrivatePage$index39,停止,Stop
$pages$ModelDetailsPrivatePage$index40,您确定要停止部署这个模型吗？,Are you sure you want to stop deploying the model?
$pages$ModelTraining$index0,请选择数据集,Select a dataset
$pages$ModelTraining$index1,请选择subset,Select the subset of the dataset
$pages$ModelTraining$index2,请选择split,Select the split of the dataset
$pages$ModelTraining$index3,请输入模型名称,Enter the name of Model
$pages$ModelTraining$index4,请选择模型,Select a model
$pages$ModelTraining$index5,请填写正确数值,Enter valid value
$pages$ModelTraining$index6,请填写正确数值,Enter valid value
$pages$ModelTraining$index7,请填写正确数值,Enter valid value
$pages$ModelTraining$index8,请填写正确数值,Enter valid value
$pages$ModelTraining$index9,请选择环境,Select an environment
$pages$ModelTraining$index10,请填写正确数值,Enter valid value
$pages$ModelTraining$index11,请填写正确数值,Enter valid value
$pages$ModelTraining$index12,请填写正确数值,Enter valid value
$pages$ModelTraining$index13,请填写正确数值,Enter valid value
$pages$ModelTraining$index14,大模型训练,Model Training
$pages$ModelTraining$index15,大模型训练,Model Training
$pages$ModelTraining$index16,大模型训练是深度学习中一项复杂而重要的任务。您可以在此训练企业定制化的大模型，商用模型仅具备某些领域的通识，企业团队可以进行微调训练私有模型的专识能力。,"Model Training is a complex and important task in deep learning. Here, you can train enterprise-customized models. Commercial models only possess general knowledge in certain domains, while enterprise teams can fine-tune private models to enhance their domain-specific capabilities."
$pages$ModelTraining$index17,大模型训练是深度学习中一项复杂而重要的任务。您可以在此训练企业定制化的大模型，商用模型仅具备某些领域的通识，企业团队可以进行微调训练私有模型的专识能力。,"Model Training is a complex and important task in deep learning. Here, you can train enterprise-customized models. Commercial models only possess general knowledge in certain domains, while enterprise teams can fine-tune private models to enhance their domain-specific capabilities."
$pages$ModelTraining$index18,步骤5,Step 5
$pages$ModelTraining$index19,开始训练,Start training
$pages$ModelTraining$index20,步骤2,Step 2
$pages$ModelTraining$index21,1.训练数据集,1. Dataset for Training 
$pages$ModelTraining$index22,数据集:,Dataset:
$pages$ModelTraining$index23,数据集:,Dataset:
$pages$ModelTraining$index24,选择数据集,Select a dataset
$pages$ModelTraining$index25,选择数据集,Select a dataset
$pages$ModelTraining$index26,请选择subset,Select the subset of the dataset
$pages$ModelTraining$index27,请选择subset,Select the subset of the dataset
$pages$ModelTraining$index28,请选择split,Select the split of the dataset
$pages$ModelTraining$index29,请选择split,Select the split of the dataset
$pages$ModelTraining$index30,选择,Select
$pages$ModelTraining$index31,步骤3,Step 3
$pages$ModelTraining$index32,2.母模型,2. Mother model
$pages$ModelTraining$index33,请输入名称,Enter a name of your model
$pages$ModelTraining$index34,请输入名称,Enter a name of your model
$pages$ModelTraining$index35,模型名称:,Model Name:
$pages$ModelTraining$index36,模型名称:,Model Name:
$pages$ModelTraining$index37,模型选择:,Select Model:
$pages$ModelTraining$index38,模型选择:,Select Model:
$pages$ModelTraining$index39,请选择模型,Select a model
$pages$ModelTraining$index40,请选择模型,Select a model
$pages$ModelTraining$index41,学习速率:,Learning Rate:
$pages$ModelTraining$index42,学习速率:,Learning Rate:
$pages$ModelTraining$index43,请选择或输入学习速率,Select or Enter the learning rate
$pages$ModelTraining$index44,请选择或输入学习速率,Select or Enter the learning rate
$pages$ModelTraining$index45,epoch训练轮数:,Epoch:
$pages$ModelTraining$index46,epoch训练轮数:,Epoch:
$pages$ModelTraining$index47,请选择或输入epoch训练轮数,Select or Enter epoch
$pages$ModelTraining$index48,请选择或输入epoch训练轮数,Select or Enter epoch
$pages$ModelTraining$index49,保存 Steps:,Save Steps:
$pages$ModelTraining$index50,保存 Steps:,Save Steps:
$pages$ModelTraining$index51,请选择或输入保存Steps,Select or Enter Save Steps
$pages$ModelTraining$index52,请选择或输入保存Steps,Select or Enter Save Steps
$pages$ModelTraining$index53,训练 Batch Size:,Training Batch Size:
$pages$ModelTraining$index54,训练 Batch Size:,Training Batch Size:
$pages$ModelTraining$index55,请选择或输入训练 Batch Size,Select or Enter Training Batch Size
$pages$ModelTraining$index56,请选择或输入训练 Batch Size,Select or Enter Training Batch Size
$pages$ModelTraining$index57,步骤4,Step 4
$pages$ModelTraining$index58,3.环境及资源,3. Environment and Resources
$pages$ModelTraining$index59,环境选择:,Select Environment:
$pages$ModelTraining$index60,环境选择:,Select Environment:
$pages$ModelTraining$index61,请选择环境,Select an environment
$pages$ModelTraining$index62,请选择环境,Select an environment
$pages$ModelTraining$index63,GPU显存(GB):,GPU(GB):
$pages$ModelTraining$index64,GPU显存(GB):,GPU(GB):
$pages$ModelTraining$index65,请选择或输入GPU显存(GB),Select or Enter GPU(GB)
$pages$ModelTraining$index66,请选择或输入GPU显存(GB),Select or Enter GPU(GB)
$pages$ModelTraining$index67,VCPU(核数):,VCPU:
$pages$ModelTraining$index68,VCPU(核数):,VCPU:
$pages$ModelTraining$index69,请选择或输入VCPU(核数),Select or Enter VCPU
$pages$ModelTraining$index70,请选择或输入VCPU(核数),Select or Enter VCPU
$pages$ModelTraining$index71,内存(GB):,Memory(GB):
$pages$ModelTraining$index72,内存(GB):,Memory(GB):
$pages$ModelTraining$index73,请选择或输入内存(GB),Select or Enter Memory(GB)
$pages$ModelTraining$index74,请选择或输入内存(GB),Select or Enter Memory(GB)
$pages$ModelTraining$index75,存储(GB):,Storage(GB):
$pages$ModelTraining$index76,存储(GB):,Storage(GB):
$pages$ModelTraining$index77,请选择或输入存储(GB),Select or Enter Storage(GB)
$pages$ModelTraining$index78,请选择或输入存储(GB),Select or Enter Storage(GB)
$pages$ModelTrainingStatus$index0,容器等待,Container Waiting
$pages$ModelTrainingStatus$index1,容器运行,Container Running
$pages$ModelTrainingStatus$index2,未开始,Not started
$pages$ModelTrainingStatus$index3,拉取数据集中,Dataset Fetching 
$pages$ModelTrainingStatus$index4,拉取数据集成功,Dataset Fetch successfully
$pages$ModelTrainingStatus$index5,拉取数据集失败,Fetch dataset failed
$pages$ModelTrainingStatus$index6,拉取模型中,Model pulling
$pages$ModelTrainingStatus$index7,拉取模型成功,Model pull successfully
$pages$ModelTrainingStatus$index8,拉取模型失败,Pull model failed
$pages$ModelTrainingStatus$index9,模型训练中,Model Training
$pages$ModelTrainingStatus$index10,模型训练成功,Model Training successfully
$pages$ModelTrainingStatus$index11,模型训练失败,Model training Failed
$pages$ModelTrainingStatus$index12,模型合并中,Model Merging
$pages$ModelTrainingStatus$index13,模型合并完成,Model merge completed
$pages$ModelTrainingStatus$index14,模型合并失败,Model merge failed
$pages$ModelTrainingStatus$index15,推送模型中,Model pushing
$pages$ModelTrainingStatus$index16,推送模型成功,Model push successfully
$pages$ModelTrainingStatus$index17,推送模型失败,Push model failed
$pages$ModelTrainingStatus$index18,训练结束,Training Completed
$pages$ModelTrainingStatus$index19,训练终止,Training Terminated
$pages$ModelTrainingStatus$index20,k8容器启动失败,K8s container startup failed
$pages$ModelTrainingStatus$index21,开始训练,Start training
$pages$ModelTrainingStatus$index22,容器启动中,Container starting
$pages$ModelTrainingStatus$index23,拉取数据集,Pull dataset
$pages$ModelTrainingStatus$index24,拉取模型,Pull model
$pages$ModelTrainingStatus$index25,模型微调训练,Model fine-tuning training
$pages$ModelTrainingStatus$index26,合并模型,Merge model
$pages$ModelTrainingStatus$index27,推送模型,Push model
$pages$ModelTrainingStatus$index28,训练完成,Training completed
$pages$ModelTrainingStatus$index29,学习率,Learning Rate
$pages$ModelTrainingStatus$index30,训练状态,Training status
$pages$ModelTrainingStatus$index31,训练状态,Training status
$pages$ModelTrainingStatus$index32,模型训练状态详情,Model Training Details
$pages$ModelTrainingStatus$index33,模型训练状态详情,Model Training Details
$pages$ModelTrainingStatus$index34,终止训练,Terminate training
$pages$ModelTrainingStatus$index35,查看日志,View logs
$pages$ModelTrainingStatus$index36,重新训练,Retraining
$pages$ModelTrainingStatus$index37,任务名称：,Task name:
$pages$ModelTrainingStatus$index38,任务状态：,Task status:
$pages$ModelTrainingStatus$index39,数据指标,Data indicators
$pages$ModelTrainingStatus$index40,进度百分比,Progress Percentage
$pages$ModelTrainingStatus$index41,loss损失率,Loss rate
$pages$ModelTrainingStatus$index42,学习率,Learning Rate
$pages$ModelTrainingStatus$index43,终止,Terminate
$pages$ModelTrainingStatus$index44,终止,Terminate
$pages$ModelTrainingStatus$index45,确定要终止训练吗？,Are you sure you want to terminate the training?
$pages$ModelTrainingStatus$index46,确定要终止训练吗？,Are you sure you want to terminate the training?
$components$Datasets$index0,数据集,Datasets
$components$Datasets$index1,步骤6,Step 6
$components$Datasets$index2,我的数据集,My Datasets
$components$Datasets$index3,生成中,Generating
$components$Datasets$index4,生成失败,Generate failed
$components$Datasets$index5,确定删除数据集,Confirm Dataset Deletion
$components$Datasets$index6,您确定要删除「,"Are you sure you want to delete """
$components$Datasets$index7,」吗？,"""?"
$components$DatasetNav$index0,数据集介绍,Dataset Introduction
$components$DatasetNav$index1,步骤3,Step 3
$components$DatasetNav$index2,数据集文件,Dataset Files
$components$DatasetCard$index0,数据集预览,Dataset preview
$components$DatasetCard$index1,数据分析,Data Analysis
$components$DatasetCard$index2,语料数量：,Quantity of corpus:
$components$DatasetCard$index3,中文比例：,Chinese ratio:
$components$DatasetCard$index4,英文比例：,English ratio:
$components$DatasetCard$index5,训练集:测试集=,Training dataset : testing dataset=
$components$DatasetCard$index6,清空,Clear
$components$DatasetCard$index7,暂无预览,No preview available
$components$DatasetCard$index8,暂无预览,No preview available
$components$DatasetCard$index9,数据集详情,Dataset Details
$components$DatasetCard$index10,暂无数据,No data available
$components$DatasetCard$index11,暂无数据,No data available
$components$DatasetsEdit$index0,数据集名称:,Dataset Name:
$components$DatasetsEdit$index1,提交对main的更改,Submit changes of main
$components$DatasetsEdit$index2,取消,Cancel
$pages$CreateDataset$index0,提示：,Tips:
$pages$CreateDataset$index1,请选择,Select
$pages$CreateDataset$index2,请填写内容主题,Enter the content subject
$pages$CreateDataset$index3,请选择数据集,Select dataset
$pages$CreateDataset$index4,请上传数据集文件,Upload dataset file
$pages$CreateDataset$index5,请输入,Enter
$pages$CreateDataset$index6,请输入,Enter
$pages$CreateDataset$index7,请选择,Select
$pages$CreateDataset$index8,请输入,Enter
$pages$CreateDataset$index9,请输入数值,Enter the value
$pages$CreateDataset$index10,大模型数据集生成,Model dataset generation
$pages$CreateDataset$index11,大模型数据集生成,Model dataset generation
